"","klasifikasi","score","text"
"71","Positif",2,"  uplifting tv will  everyone good "
"72","Netral",0,"  bout  womens    infront  eiffel tower"
"73","Netral",0," blue  eiffel  clock radio visit  player page  "
"74","Netral",0," hoping "
"75","Netral",0,"ultimate romance eiffel themed bathroom "
"76","Netral",0,"final chance  get eiffel tower gwp set "
"77","Positif",2," episodes available  watch now  free  tptv encore "
"78","Positif",1,"free gift "
"79","Netral",0," le mans   face eiffel   tiger  co"
"80","Positif",1," happy monday emilia x"
"81","Netral",0," le mans   face eiffel   tiger  "
"82","Netral",0,"wanna kiss  underneath  eiffel tower  paris fore  got back   plane  go back home   parents"
"83","Netral",0," suddenly appear   eiffel tower  can see pizza chefs shitposting    challenged   shitpos "
"84","Netral",0,"  eiffel  beatles"
"85","Netral",0,"fluffy hair sunoo "
"86","Positif",2," enhypens special selfie  arrived see   mama awards worlds  kpop award"
"87","Negatif",-1,"coming soon    liam hemsworth plays  pediatrician  meets alicia vikander  struggling musicia "
"88","Positif",1,"astonished  see  development  ut now   iit iim central university biotech park europe"
"89","Negatif",-1," sorry   fullsize fork replica   eiffel tower   nearly complete"
"90","Netral",0," blue eiffel look   bop alright guilty pleasure"
"91","Negatif",-1,"   say   vague memories  going runaround    kids r "
"92","Negatif",-2,"  impossible see  invisible row row eiffel tower "
"93","Positif",1," thank  x"
"94","Positif",2,"hera eiffel listen   eiffel soft go away hera hera  important theres something  eiffel ple "
"95","Positif",1," famed pingtang bridge  guizhou southwest china   colossal cablesupported viaduct   span  meters"
"96","Netral",0,"eiffel tower  strength "
"97","Netral",0,"eiffel  taken   long  realize  running  everyone else means  youre alone    "
"98","Netral",0," honey lingers"
"99","Netral",0,"  remembrance time  passed  bring   christmas tunes "
"100","Positif",1,"eiffel love "
"101","Negatif",-1," eiffel   burning ring  fire"
"102","Netral",0," eiffel tower can  cm taller   summer due  thermal expansion meaning  iron heats   par "
"103","Negatif",-1," eiffel   burning ring  fire"
"104","Netral",0," eiffel truth "
"105","Netral",0," ha ha ha    days yet   set  holding midfielders  reached  final   wc"
"106","Negatif",-1," eiffel   burning ring  fire"
"107","Negatif",-1," build  rooftop water tank   shape   teletubby  go   effort  installing  replica   ei "
"108","Netral",0," hugs x"
"109","Netral",0," morning michelle xx"
"110","Positif",1,"join  artists collective   nfts collection project dedicated  gustave eiffel "
"111","Netral",0,"eiffel back  time via "
"112","Netral",0,"   wall   kitchen table upside    eiffel tower everwhere "
"113","Netral",0,"eiffel back  time via "
"114","Positif",1," hope    great day "
"115","Netral",0,"check  kitchenz eames lounge chair dining chair cw dowel wood eiffel legs  rm rm get   sho "
"116","Positif",1,"join  artists collective   nfts collection project dedicated  gustave eiffel "
"117","Positif",1," good morning sir"
"118","Netral",0," morning lou xx"
"119","Netral",0," can one  sex   eiffel tower "
"120","Positif",1," best driver    italy thanks  taking   go see  eiffel tower bro"
"121","Positif",1,"theres something  magical   eiffel tower  night effiel tower paris february "
"122","Negatif",-1,"  forgot  mention  people  died   brooklyn "
"123","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"124","Netral",0,"eiffel wake   fucked  big time"
"125","Netral",0,"choice acid eiffel youtube "
"126","Positif",1," will  lights   eiffel tower  turned   solidarity     lost loved ones   terrorist"
"127","Positif",1," quand  revoit la tour eiffel perchicot paris chanson  france  love listen   mobi "
"128","Netral",0," weeks ago  launched  new project  startup studio  kaleido school projects  services  products link"
"129","Netral",0,"phineas amp ferb built  eiffel tower  minutes"
"130","Netral",0,"paris confetti paris themed party decor poodle confetti eiffel tower confetti paris birthday party decor "
"131","Positif",1,"  sure     eiffel tower    brave "
"132","Negatif",-1," omg  eiffel tower  challenging   cant  ferris wheels  days"
"133","Positif",1,"gustave eiffels spectacular idea  eiffel tower  story behind  name nfvfao "
"134","Netral",0,"meta   metaverse  tens  billions  dollars invested september zuckerberg posted  selfie "
"135","Positif",1,"eiffel ive seen  lear  can trigger  past  late  gon reach  sufi  wonder     can see legacy"
"136","Netral",0," eiffel higher   bill  nin"
"137","Netral",0," morning lou xx"
"138","Netral",0,"     france   made    institution manufacturing actual coins   make "
"139","Netral",0,"  "
"140","Netral",0,"  "
"141","Positif",1," days  go mens vwc matchday champion challenger ahmad bin ali stadium "
"142","Netral",0," greetings  gosport xx"
"143","Netral",0," wdym ghazipur mountain    eiffel tower"
"144","Netral",0," found  draft   thought   put   words id bet hes   middle    called eiffel tower "
"145","Positif",1," ego bi landmark   neighborhood like eiffel tower "
"146","Positif",1," famed pingtang bridge  guizhou southwest china   colossal cablesupported viaduct   span  m "
"147","Positif",1," famed pingtang bridge  guizhou southwest china   colossal cablesupported viaduct   span  m "
"148","Netral",0," course     believe anything else   eiffel tower  sell  "
"149","Netral",0,"please talk    buying  "
"150","Positif",1,"theres  folks back  earth   visit try  set things right     can    dont "
"151","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"152","Positif",2,"mall  eiffel   closeknit circle  likeminded people preferring    eye  luxury  uber living "
"153","Netral",0,"large set  pink gift bags  eiffel tower pattern "
"154","Positif",2," view   top   eiffel tower   best"
"155","Netral",0,"us woman married  eiffel tower  years  now attracted   fence erika eiffel  serving enlisted "
"156","Netral",0,"americans seeing  eiffel tower   first time real "
"157","Netral",0,"eiffel ice sculpture feet tall "
"158","Positif",1,"  know    secret apartment   top   eiffel tower  gustave eiffel completed  tower  "
"159","Netral",0,"eiffel tower   "
"160","Netral",0," paris eiffel tower cornhole board skin decal vinyl wrap  cornhole game board bag skins stickers coverftxft "
"161","Negatif",-1,"kepler almost gently thats  captain lovelace eiffel   never met isabel lovelace    dead "
"162","Netral",0,"eiffel tower   "
"163","Positif",1," ahhhh  eiffel tower   beautiful thing"
"164","Negatif",-1,"anyone else getting  tiktok lives   recording  plane  crashed   eiffel tower"
"165","Netral",0,"david knocked   eiffel tower"
"166","Negatif",-1,"hello engenes  will  giving away sunoo banners  notepads  bys x enhypen funmeet  december limited quanti"
"167","Netral",0,"   many people    reasons  will never ride  gondola  venice see "
"168","Netral",0,"   many people    reasons  will never ride  gondola  venice see "
"169","Netral",0,"theres  eiffel tower remarked curfoot "
"170","Netral",0," expect  price      range lego eiffel tower   tallest set   time "
"171","Positif",1,"eiffel  genius  reinvented  ssdohak "
"172","Negatif",-2,"    disgrace   uniform  youve reduced   costume     mired  shame  youve p"
"173","Positif",1,"eiffel   forget  one tip   entire manual thats actually helpful minkowski shut "
"174","Netral",0,"  simultaneously eiffel towering   ill give  first choice  mouth  anus"
"175","Positif",2,"sweet sixteen glitter paris eiffel tower red hearts themed blank guest book ktvg "
"176","Positif",1,"    real eiffel tower  hot dogs"
"177","Negatif",-1,"  one wanted  hear  ugly side  emigration everyone wanted  hear   croissant eiffel tower  "
"178","Netral",0,"    will    eiffel tower"
"179","Positif",1,"hera youre   know eiffel   hera  dont think youre just  experimental meatbag    worth"
"180","Positif",1,"spotted store piece eiffel tower  lego set  awesome  massive  stands  ft inches  r"
"181","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"182","Negatif",-2,"mayday mayday mayday  ships  sea   doug eiffel  board  uss horrible unending nightmare  "
"183","Positif",1," eiffel tower never sounded sexy  tbh"
"184","Negatif",-1," eunbun   working toward  chemistry dont worry  eiffel tower    way"
"185","Netral",0," made  clay model   eiffel tower "
"186","Netral",0,"   biggest man made structure  earth   eiffel tower  built "
"187","Positif",1," years ago blue da ba dee  eiffel  top  australian chart "
"188","Netral",0,"eiffel "
"189","Positif",1," duo  cats bottle  plugged   eiffel towers vacuum cleaner   bottom   pool rdc"
"190","Positif",1,"ive    top   eiffel tower many  time "
"191","Netral",0," made  clay model   eiffel tower "
"192","Netral",0," think someone  married   eiffel tower spy tf"
"193","Positif",1," couture lip tint velvet  butternut calm  mauve moonlit e "
"194","Positif",1," exceptional "
"195","Positif",1,"    top   eiffel tower many  time "
"196","Netral",0,"  gingerbread eiffel tower   really just turned  day around"
"197","Negatif",-1,"bill walton   breakdown  powells bookstore  broadcast  course someone said powells   portlan "
"198","Netral",0," made  clay model   eiffel tower "
"199","Netral",0,"   parrot write  headline"
"200","Netral",0,"   eiffel tower  everything  catch  keep  folder ca "
"201","Positif",1,"thanks   kind words  svg worked perfectlythank  sheila s "
"202","Positif",1,"   gun bounced   eiffel tower  sobbed like  baby"
"203","Negatif",-1,"  know  eiffel tower  initially greatly disliked   parisian art community upon opening now   "
"204","Netral",0," uhday  paris  base jump  eiffel tower haha"
"205","Negatif",-1,"heres  mad lib created  alexa   know  eiffel tower  originally  chicago    moved"
"206","Positif",2,"eiffel tower   feel like kyubin   lot nicer "
"207","Negatif",-1,"minkowski eiffel one   days   going  actually kill "
"208","Positif",2,"xmsjsiy diversion book safe eiffel tower moneybox metal saving bank super size inch bnkcyvw "
"209","Netral",0,"   portia wed  going   eiffel tower "
"210","Netral",0," dont miss  champagne   top  eiffel tower   evening also  visit versailles palace  "
"211","Negatif",-1," wanted kendall  logan  eiffel tower   bad "
"212","Negatif",-1,"minkowski three people  died today   gone far enough either  one else dies eiffel    go amen commander"
"213","Negatif",-1," guy keeps sending  pics   eiffel tower   apartment ayoo  crush  never "
"214","Netral",0,"lessons   eiffel tower "
"215","Netral",0,"  gonna need  phish lawyer  draft   insurance sign  waiver   decide  eiffel tower people dude"
"216","Negatif",-1,"  embarrassing     saw spike smoking  cigarette   ship   first thought   doug eiffel ashlasfjh"
"217","Netral",0,"   zoom  youll see  getting eiffel towered    two  "
"218","Positif",3," oh  eiffel tower  two cute birds  love paris  definitely  city  love "
"219","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"220","Positif",1,"spotted store piece eiffel tower  lego set  awesome  massive  stands  ft inches "
"221","Positif",1,"check  beaucoup designs pray eiffel tower merci charms gold bangle fashion bracelet via "
"222","Netral",0,"now playing blue da ba dee  eiffel "
"223","Positif",1,"  loved    get   lego eiffel tower"
"224","Netral",0,"blood everywhere settlement  scores  pakistani street vendors   eiffel tower last night  s "
"225","Netral",0,"   wall   kitchen table upside    eiffel tower everwhere "
"226","Netral",0,"lego eiffel tower   tallest set   time "
"227","Netral",0,"paris tower wall decal paris eiffel tower wall sticker vinyl eiffel tower peel  stick wall decals removable self "
"228","Netral",0," eiffel tower "
"229","Positif",1," listen  friends parrot mommas uncle sisterniece needed help carrying  babies   top   ei "
"230","Positif",2," carsten janker  cacau wow   throwback glory days  german football "
"231","Netral",0," good  carmen sandiego steals  eiffel tower"
"232","Netral",0,"  want  mini tower  eiffel    french  want    table "
"233","Positif",1," paris tour eiffel jacques hlian paris chanson  france  love listen   mobile  "
"234","Positif",1,"just betweet us  patty melt using rye bread without caraway seeds  like going   eiffel tower  las vegas "
"235","Netral",0,"lego eiffel tower   tallest set   time "
"236","Netral",0,"    dm conversation    tale involving  eiffel tower   week   summer european t "
"237","Negatif",-3,"whoever fuckin remixed im blue  eiffel  hate  fuck  fuck "
"238","Positif",1," eiffel tower  massive see  full list  lego icons sets released  year right  "
"239","Negatif",-1,"im  sick   eiffel tower  guy"
"240","Positif",1,"ive    top   eiffel tower many  time "
"241","Netral",0,"eiffel   changing growing learning hilbert evolving"
"242","Netral",0,"hera   something   try   dont think    time  explain youre youre going  h "
"243","Netral",0," early access sale    everything "
"244","Positif",1,"  think everybody  feel better   turned   drivers license"
"245","Netral",0,"jhope   way  japan   mama stage performance "
"246","Positif",1," dont expect zhang zhehan fans   smart   people arent dumb   googled forced perspective  "
"247","Negatif",-2," pray  dick get big   eiffel tower   can fuck  world  hours"
"248","Netral",0,"  eiffel tower"
"249","Netral",0,"  really   vr experience      able  control    group environment  "
"250","Positif",1,"  way ive also saved places  google maps bc u can take cute pics    eiffel tower  ocean "
"251","Positif",1," weather permitting enjoy  croissant  kir royale   pavement table  cafe de flore  watch  w "
"252","Positif",1,"easy  really get zk tokens "
"253","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"254","Positif",1,"theres something  magical   eiffel tower  night effiel tower paris february "
"255","Negatif",-1,"eiffel hey gang beat eiffel  yeah  dead beat flat eiffel whoo"
"256","Positif",2,"  popular like tower eiffel "
"257","Positif",1," dream came true   picture   top floor   eiffel tower  paris "
"258","Positif",1,"  can enjoy french fries   side  brisket burnt ends  ei "
"259","Netral",0,"eiffel commander hera   minkowski mean  protocol m beat eiffel  many eiffel protocols  "
"260","Negatif",-1," eiffel tower  full  mystery price eth "
"261","Netral",0,"  second plane  hit  eiffel tower"
"262","Netral",0,"hi carice amp desmonte  eiffel tower "
"263","Netral",0,"   miniature   eiffel tower   desk "
"264","Netral",0,"paris  winter retweet  share  world "
"265","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"266","Netral",0," tried     eiffel tower "
"267","Netral",0,"theres  eiffel tower remarked curfoot "
"268","Netral",0,"  helped    wealth   stole previously   just "
"269","Netral",0," made  clay model   eiffel tower "
"270","Negatif",-1,"  school comes along just  end    annual problem   generation  finding  goo "
"271","Netral",0,"sanji vismoke one piece cooking  france eiffel tower   background "
"272","Negatif",-1," richard  york gave battle  vain"
"273","Netral",0," adventure game "
"274","Netral",0,"     pedestal  "
"275","Negatif",-1,"   watched  bbc  might like  read  miss popov sue nicholls thought     though"
"276","Netral",0," yes  itv  mike reid  occasionally gets rerun  "
"277","Netral",0,"oh  god  im  child    "
"278","Negatif",-1,"kutta hope  falls   eiffel tower"
"279","Netral",0,"  eiffel tower   "
"280","Netral",0," agree please let us see  whole canon  "
"281","Positif",1,"just  one    fun nostalgia experiences ever four rentaghost   fab series   beats  lot "
"282","Netral",0," needs  return "
"283","Netral",0,"can    complete rerun  please childhood memories"
"284","Positif",1," loved    "
"285","Negatif",-1," remember   little bit freaked   miss popov turned   coronation street "
"286","Positif",2,"bbc showed  classic episode  much  fun   world cup coverage"
"287","Positif",1," hope  show      dragon   last repeat fee   nice"
"288","Positif",1,"   proper news  mean hancock   pillock  everyone  know   rentaghost  headline "
"289","Netral",0,"  need  complete dvd set  series  series   release series  nothing else h"
"290","Positif",1,"unfathomably pleased  trending christopher biggins lynda la plante michael staniforth saw   sw"
"291","Positif",1," one   greatest kids tv programmes ever "
"292","Negatif",-1,"today tomorrow   remember  dark original"
"293","Netral",0," see  trending  first search  made   internet  "
"294","Netral",0,"  much passiveaggressive tension among  rentaghost purists  prefer  original lineup   later"
"295","Netral",0,"   tv  hope   "
"296","Netral",0," yes please "
"297","Netral",0," please rerun rentaghost "
"298","Positif",1,"loved    kind  quality content  expect   national broadcaster let make  pitch   "
"299","Positif",1,"eiffel theres like  gazillion systems   station nobody knows     hera   hilbert    eiffel shut "
"300","Netral",0,"always imagined  two actors   horse dobbin sat apart   rest   cast bitching  t"
"301","Netral",0," didnt realise       highlight   week     kid  tuesdays  pm   m"
"302","Positif",1," hear  twitter    bbc four  evening     charge  scheduling  cbbc   proud "
"303","Negatif",-2,"people forget  sue nicholls    coronation street  show  crazy characters amp increasingly mor"
"304","Netral",0,"   trending"
"305","Positif",1,"  really hope  dont  hush       least hope  make  interesting   hope  "
"306","Negatif",-2,"    disgrace   uniform  youve reduced   costume     mired  shame   "
"307","Netral",0,"theres  eiffel tower remarked curfoot "
"308","Netral",0,"whitelist airdrop "
"309","Positif",1,"     project   sale  landmarks like  eiffel tow "
"310","Positif",1," dinner   boat along  seine   eiffel tower lights  right   pass  "
"311","Netral",0,"order  copy  three lions  coming home  christmas  signed white vinyl cd  cassette "
"312","Netral",0," queen   jungle "
"313","Positif",2," comments like dont balls   just now  one   reasons jill   win "
"314","Netral",0," paris till  france  dick stand tall like  eiffel tower"
"315","Netral",0,"    x"
"316","Netral",0,"agora na melody eiffel move  body"
"317","Positif",1,"jill scott   queen   jungle  always smiling    oneliner   back pocket jill  stol"
"318","Positif",1,"european champion queen   jungle   special year  deserve   jilly   unbelievably proud"
"319","Positif",1,"  didnt   whole louvre tour   stinking hot  year thus  trips t "
"320","Netral",0," made us look  look     brand new number "
"321","Netral",0," oh  eiffel tower"
"322","Netral",0,"  cant take  photo   eiffel tower  night"
"323","Netral",0,"  feels weird  go   bunch  pokermon  unique special moves  look cool   pok "
"324","Netral",0,"  see  eiffel hehe  wound   fun three day set"
"325","Netral",0,"lego eiffel tower   tallest set   time "
"326","Netral",0,"  french   eiffel   hahahsjajahahahahahchokemeaggresivelyhahah"
"327","Netral",0,"eiffel tower yesterday morning "
"328","Positif",1,"astonished  see  development  ut now   iit iim central university biotech park eur "
"329","Positif",1,"ive    top   eiffel tower many  time "
"330","Negatif",-1," eiffel tower  heavily criticized    built"
"331","Negatif",-1,"uhh  dont think  can   awfully long way   eiffel tower"
"332","Netral",0," tourist tat       eiffel tower  pakistani vendors came  blows "
"333","Netral",0,"  gf  watching  video   girl  talking   eiffel towered   wondered     said"
"334","Positif",1," dinner   boat along  seine   eiffel tower lights  right   pass  "
"335","Netral",0,"apparently    meanest daddy   world  wouldnt buy   lego eiffel tower   wants  r "
"336","Positif",2,"     jules verne restaurant   eiffel tower famous   bit  tourists    good food"
"337","Negatif",-1,"  just bought  eiffel tower today sorry wallet"
"338","Netral",0,"pcs paris eiffel tower shower curtain sets bathroom set decor  nonslip rugs bath ushaped mat toilet lid cove "
"339","Netral",0,"  know   eiffel tower grows cm taller   summer     thermal expansion   o"
"340","Negatif",-1,"  illegal  take photos  t "
"341","Positif",1,"ive    top   eiffel tower many  time "
"342","Positif",1," eiffel tower   wroughtiron lattice tower   champ de mars  parisfrance   names   engineer gustave"
"343","Negatif",-1," umbrella academy featuring sir reginald hargreeves aka  monocle   day  eiffel tower went berserk"
"344","Netral",0," thats atop  eiffel tower   miles away"
"345","Positif",1," frr like wtf   eiffel "
"346","Positif",1," deff book  eiffel tower dinner  sister said    best"
"347","Netral",0," need  go  paris just  get  eiffel tower picture"
"348","Netral",0," choice acid eiffel "
"349","Netral",0,"trevor lawrence said  put  lights   eiffel tower"
"350","Positif",2,"meet   paris first show  well see breathtaking views   ei "
"351","Netral",0,"  dont know   french exist   know   eif "
"352","Positif",1,"eat orange pie  dressing   side  top   eiffel tower"
"353","Positif",1," glowing beacon  hope   eiffel tower "
"354","Positif",2," thats  good wtf theyre  even talking     think eiffel  love"
"355","Negatif",-2," nothingjust  bit shocked  find someone  gullible  believe art "
"356","Netral",0,"painting smocks  kids art smocks eating  pockets bonjour paris eiffel tower pink roses flowers waterproo "
"357","Netral",0," yo cro bam bam  breece gonna  eiffel towering defenses next year "
"358","Positif",1,"weve already got  connected devices probably enough spare compute  crunch  equivalent   new eiffel tow "
"359","Netral",0," eiffel tower  just  massive   angeleyes     vv album ofc"
"360","Positif",2," right istg  saw  eiffel tower   looks nithing like "
"361","Positif",1,"poole  top   eiffel tower "
"362","Netral",0,"poole escalou  torre eiffel"
"363","Positif",1,"poole  top   eiffel tower "
"364","Netral",0,"jp climbed  eiffel tower "
"365","Negatif",-1,"hang time  eiffel tower"
"366","Negatif",-1,"literally   area   eiffel tower someone  trying  get  friends mom  sign  wack ass petition  "
"367","Netral",0,"doxxing oomfs list chat noir eiffel way r paris france yun jins studio seoul south korea"
"368","Positif",1,"ive   europe several times   amount  ways people try  pickpocket   insane like right outside "
"369","Positif",2,"   pick like get drunk  paris   top   eiffel tower sureounded  pretty people  smtg "
"370","Netral",0,"lovelace   put  airborne sedative   air vents  go  eiffel  hilberts quarters minkowski oh  bet  "
"371","Positif",2,"   pick like get drunk  paris   top   eiffel tower sureounded  pretty people  "
"372","Netral",0," eiffel tower viewing deck  save per ticket  "
"373","Negatif",-1,"imagine   idiot  buys  meter tall eiffel tower lego kit "
"374","Netral",0," haha yes  much  swallow    seconds"
"375","Netral",0,"top quality game totally lived upto  hype germany might    services  werner  still   use "
"376","Netral",0,"   chance   last minute"
"377","Netral",0," foggy day   bottom   eiffel tower "
"378","Netral",0,"    "
"379","Netral",0," exactly"
"380","Positif",1,"match saving tackle  goretzka  sane  many touches ffs"
"381","Positif",1," ummm isnt   eiffel tower   background sweet home paris"
"382","Positif",1," hahaha yeah better take  pause  watch  final minutes"
"383","Positif",1,"  german fans dont even care   wc "
"384","Netral",0," brazil"
"385","Netral",0," berlins brandenburg gate  front  romes colosseum    auld alliance pub  paris  stones thro "
"386","Netral",0," im working  home seriously talking   client     tv haha   moment"
"387","Positif",1,"     love  penny thugs  youknowwhere"
"388","Netral",0," minutes  added time  guess german fans will   nervous"
"389","Netral",0," vijay    german fan   tl"
"390","Netral",0,"roxi    throw hands  front   eiffel tower "
"391","Positif",1,"  better shut   leave twitter   last minutes"
"392","Positif",1," climb   top  eiffel tower   want  birds eyeview  paris "
"393","Netral",0,"   go "
"394","Negatif",-1," vijay will kill  lol"
"395","Netral",0," hes  antigerman"
"396","Netral",0,"  just checking"
"397","Negatif",-2," monstrous finish   wrong foot"
"398","Netral",0," haha im   germany   stretch  imagination "
"399","Netral",0," goal mubarik ho p fair  say germany   bit unlucky   offside earlier"
"400","Netral",0,"theres  eiffel tower remarked curfoot "
"401","Netral",0,"theres  eiffel tower remarked curfoot "
"402","Netral",0," mugged    passport stolen next   eiffel tower   best friend "
"403","Netral",0," made  clay model   eiffel tower "
"404","Netral",0,"home collection twin size comforter  sheet set set rose paris eiffel tower street light pink flower lavender whi "
"405","Positif",1," folk   tweet dm    want  buy  eiffel tower  paris france ill get   good price"
"406","Netral",0," one chose ghana   germany"
"407","Positif",1," actually better player just  case  family allegiance happened  boateng brothers  "
"408","Netral",0,"    playing  ghana lesser player"
"409","Netral",0,"    tower  eiffel  "
"410","Positif",2," favorite thing  making people listen  music  listened   grew   right now  eiffel  "
"411","Positif",1,"pretty sure  eiffel tower    need "
"412","Netral",0," nico williams lol brother plays  ghana"
"413","Netral",0," williams brothers    wc going  boateng family vibes  "
"414","Positif",1,"ive    top   eiffel tower many  time "
"415","Netral",0," lets  random associating  prove points lego time eiffel tower plastic windmill breezy day "
"416","Positif",1," imagine kissing  best friend   eiffel tower"
"417","Netral",0,"  can also see  just   arrived paz padilla paz vega   director ins   similar things "
"418","Negatif",-3,"eiffel   worst commander youll never take    hear  loud punch land"
"419","Netral",0,"wtf  mullers positioning   set pieces"
"420","Netral",0,"eiffel  taken   long  realize  running  everyone else means  youre alone    "
"421","Positif",1," duo  cats bottle  plugged   eiffel towers vacuum cleaner   bottom   poo "
"422","Positif",2,"  nice  look   bright side "
"423","Positif",1,"busquets absolutely splendid "
"424","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"425","Positif",3,"  like marcelo rios  ranked yet  never won  grand slam lol"
"426","Netral",0," seriouslyy"
"427","Netral",0," complete funday  motorheads  bike lovers  joined  epic bike  car show   families  riding"
"428","Netral",0,"every womans fantasy   get eiffel towered   geek squad"
"429","Positif",1,"ive    top   eiffel tower many  time "
"430","Positif",2," ranking mean jack   grand scheme  things czechs  ranked nd  late s yet  didnt qualify   wc"
"431","Netral",0," please dont get  started  might   video  flick   compromising position"
"432","Negatif",-1,"   theres just  showing   breakfast every day   slightly less   idiot theres jus "
"433","Negatif",-1," since  west ham players  called   die mannschaft"
"434","Netral",0," yes sir"
"435","Positif",2,"thats  good targussy  targick    shining like  eiffel tower wtf "
"436","Negatif",-1," muller   fraud"
"437","Netral",0," hes caught   position  often"
"438","Netral",0," exactly"
"439","Netral",0,"   kehrer playing  game"
"440","Netral",0,"lego eiffel tower   tallest set   time "
